Country,GDP,Population,Continent,Life Expectancy
Middle East & North Africa (IDA & IBRD countries),3063.19,391344574.00,Europe,73.77
Tonga,,105697.00,Africa,70.91
South Asia (IDA & IBRD),1804.92,1856882402.00,Asia,69.64
Sub-Saharan Africa (IDA & IBRD countries),1483.77,1136046775.00,Africa,61.63
Trinidad and Tobago,15384.04,1399491.00,Asia,73.51
Tunisia,3319.82,11818618.00,Africa,76.70
Turkey,8538.17,84339067.00,Europe,77.69
Tuvalu,4143.11,11792.00,Oceania,
Tanzania,1076.47,59734213.00,Africa,65.46
Uganda,817.04,45741000.00,Africa,63.37
Ukraine,3726.93,44134693.00,Europe,71.83
Upper middle income,9191.68,2513672792.00,,75.94
Uruguay,15438.41,3473727.00,South America,77.91
United States,63543.58,329484123.00,North America,78.79
Uzbekistan,1685.76,34232050.00,Asia,71.73
St. Vincent and the Grenadines,7297.91,110947.00,North America,72.53
"Venezuela, RB",,28435943.00,South America,72.06
British Virgin Islands,,30237.00,Europe,
Virgin Islands (U.S.),,106290.00,North America,79.67
Vietnam,2785.72,97338583.00,Asia,75.40
Vanuatu,2782.98,307150.00,Oceania,70.47
World,10925.73,7752840547.00,,72.74
Samoa,4067.47,198410.00,Oceania,73.32
Kosovo,4287.20,1775378.00,Europe,72.50
"Yemen, Rep.",,29825968.00,Asia,66.13
South Africa,5090.72,59308690.00,Africa,64.13
Zambia,1050.92,18383956.00,Africa,63.89
Zimbabwe,1128.21,14862927.00,Africa,61.49
