Country,GDP,Population,Continent,LifeExpectancy
Sao Tome and Principe,2157.84,219161,Africa,70.39
Suriname,6491.14,586634,South America,71.68
Slovak Republic,19156.89,5458827,Asia,77.47
Slovenia,25179.67,2100126,Asia,81.28
Sweden,51925.71,10353442,Europe,82.96
Eswatini,3415.46,1160164,Africa,60.19
Sint Maarten (Dutch part),,40812,North America,
Seychelles,11425.09,98462,Africa,73.94
Syrian Arab Republic,,17500657,Asia,72.7
Turks and Caicos Islands,23879.93,38718,Asia,
Chad,614.47,16425859,Africa,54.24
East Asia & Pacific (IDA & IBRD countries),8378.63,2079198305,Asia,75.44
Europe & Central Asia (IDA & IBRD countries),8368.48,462247461,Europe,74.3
Togo,914.95,8278737,Africa,61.04
Thailand,7189.04,69799978,Asia,77.15
Tajikistan,859.14,9537642,Asia,71.1
Turkmenistan,,6031187,Asia,68.19
Latin North America & the Caribbean (IDA & IBRD countries),7244.56,636492840,,75.52
Timor-Leste,1381.18,1318442,Asia,69.5
Middle East & North Africa (IDA & IBRD countries),3063.19,391344574,Europe,73.77
Tonga,,105697,Africa,70.91
South Asia (IDA & IBRD),1804.92,1856882402,Asia,69.64
Sub-Saharan Africa (IDA & IBRD countries),1483.77,1136046775,Africa,61.63
Trinidad and Tobago,15384.04,1399491,Asia,73.51
Tunisia,3319.82,11818618,Africa,76.7
Turkey,8538.17,84339067,Europe,77.69
Tuvalu,4143.11,11792,Oceania,
Tanzania,1076.47,59734213,Africa,65.46
Uganda,817.04,45741000,Africa,63.37
Ukraine,3726.93,44134693,Europe,71.83
Upper middle income,9191.68,2513672792,,75.94
Uruguay,15438.41,3473727,South America,77.91
United States,63543.58,329484123,North America,78.79
Uzbekistan,1685.76,34232050,Asia,71.73
St. Vincent and the Grenadines,7297.91,110947,North America,72.53
"Venezuela, RB",,28435943,South America,72.06
British Virgin Islands,,30237,Europe,
Virgin Islands (U.S.),,106290,North America,79.67
Vietnam,2785.72,97338583,Asia,75.4
Vanuatu,2782.98,307150,Oceania,70.47
World,10925.73,7752840547,,72.74
Samoa,4067.47,198410,Oceania,73.32
Kosovo,4287.2,1775378,Europe,72.5
"Yemen, Rep.",,29825968,Asia,66.13
South Africa,5090.72,59308690,Africa,64.13
Zambia,1050.92,18383956,Africa,63.89
Zimbabwe,1128.21,14862927,Africa,61.49
